pid,gametime,fg2_rate,fg3_rate,home_team_name,tid,opp_1,dist_1,is_make,shot_distance
16,13.93333333,75,0,Andover,1002,130962,0.962695959,TRUE,6.939364395
16,1.85,75,0,Andover,1002,130962,4.082537085,TRUE,7.00922116
17,18.53333333,63,33,Andover,1002,130959,11.90749183,FALSE,24.01291263
17,16.56666667,63,33,Andover,1002,130959,4.121707945,TRUE,3.935040371
17,15.9,63,33,Andover,1002,130962,2.17785016,FALSE,3.292239161
17,12.36666667,63,33,Andover,1002,130959,1.367464975,TRUE,4.830510767
1,37.65,43,29,Andover,1001,52061,1.340996946,TRUE,3.973545587
1,35.03333333,43,29,Andover,1001,56633,2.220149543,FALSE,5.384499175
1,31.38333333,43,29,Andover,1001,114450,3.984135439,TRUE,15.93320752
1,20.58333333,43,29,Andover,1001,114450,5.783521666,FALSE,24.75255063
3,27.4,58,0,Andover,1001,56634,3.019351544,FALSE,5.851078055
5,29.8,60,0,Andover,1001,52061,2.28109706,FALSE,7.283860855
5,23.53333333,60,0,Andover,1001,52061,2.513271202,FALSE,7.481150472
7,39.15,54,27,Andover,1001,56634,8.271874089,TRUE,2.394305243
7,38.61666667,54,27,Andover,1001,56633,4.70732975,TRUE,3.65030717
7,34.41666667,54,27,Andover,1001,73527,1.914869791,FALSE,4.077656506
7,32.56666667,54,27,Andover,1001,75021,6.253155382,FALSE,8.958754003
7,24.2,54,27,Andover,1001,75021,1.060893997,TRUE,3.097046925
8,27.98333333,57,13,Andover,1001,75021,13.65340556,FALSE,23.2051037
8,26.55,57,13,Andover,1001,75021,2.662952958,FALSE,7.063020668
9,37.95,48,28,Andover,1001,56633,9.891502449,TRUE,16.11848678
9,36.35,48,28,Andover,1001,75021,8.181373023,TRUE,24.5078513
9,30.15,48,28,Andover,1001,124085,5.019870682,FALSE,24.06612879
9,23.4,48,28,Andover,1001,73527,2.212991636,TRUE,6.392791457
9,22.2,48,28,Andover,1001,75021,6.915644184,TRUE,27.74910442
10,21.8,48,41,Andover,1002,126865,5.547971256,FALSE,12.67695264
11,38.85,53,38,Andover,1002,130960,5.184915849,FALSE,19.60756168
11,37.21666667,53,38,Andover,1002,130960,7.440877131,FALSE,26.21061002
11,28.31666667,53,38,Andover,1002,90103,13.73282382,FALSE,23.30084189
11,24.48333333,53,38,Andover,1002,130960,4.088469022,TRUE,6.954317541
11,23.8,53,38,Andover,1002,130960,8.913508539,FALSE,23.73039759
14,33.28333333,43,15,Andover,1002,78837,5.024989639,TRUE,19.75196092
14,30.86666667,43,15,Andover,1002,130960,9.02954046,FALSE,26.96705453
14,30.76666667,43,15,Andover,1002,90103,8.32551404,FALSE,19.84787727
14,29.28333333,43,15,Andover,1002,130962,6.61363068,FALSE,28.69426378
14,28.66666667,43,15,Andover,1002,85296,5.582067494,FALSE,22.66478289
18,38.41666667,42,29,Andover,1002,90103,5.61008099,FALSE,10.79016753
18,20.9,42,29,Andover,1002,130960,7.31843338,FALSE,27.69206252
16,38.2,74,50,Andover,1002,130960,3.043558719,TRUE,3.032326908
16,35.6,74,50,Andover,1002,78837,2.590893702,TRUE,8.139417567
16,32.21666667,74,50,Andover,1002,90103,6.209569346,TRUE,24.09738923
16,31.83333333,74,50,Andover,1002,90106,8.674179862,FALSE,18.07394299
16,30,74,50,Andover,1002,90106,11.78607877,FALSE,24.06634235
17,39.41666667,63,34,Andover,1002,130959,1.337283424,TRUE,2.525626773
17,26.81666667,63,34,Andover,1002,78837,7.093285339,TRUE,25.47225435
1,19.26666667,42,28,Ansonia,1001,102144,7.009509093,FALSE,28.25046816
1,13.01666667,42,28,Ansonia,1001,80343,6.207214889,FALSE,14.17781706
1,0.933333333,42,28,Ansonia,1001,110609,5.309515259,FALSE,24.60233752
4,16.83333333,51,27,Ansonia,1001,80340,5.597441884,FALSE,32.97279783
4,13.63333333,51,27,Ansonia,1001,80340,13.31067962,TRUE,24.8147619
4,11.13333333,51,27,Ansonia,1001,98247,10.82415695,TRUE,25.67266755
4,10,51,27,Ansonia,1001,102144,3.676312612,FALSE,6.989794009
4,4.116666667,51,27,Ansonia,1001,80338,4.407891262,FALSE,14.21219937
5,18.46666667,60,0,Ansonia,1001,98247,3.948955369,FALSE,8.28668031
7,18.83333333,54,29,Ansonia,1001,62330,6.723421818,FALSE,4.628818782
7,18.81666667,54,29,Ansonia,1001,62330,4.426913408,FALSE,2.100314231
8,15.26666667,57,14,Ansonia,1001,80338,4.771496509,FALSE,11.5820325
8,8.983333333,57,14,Ansonia,1001,98247,5.001663984,TRUE,4.646422397
8,5.116666667,57,14,Ansonia,1001,80340,8.768001166,FALSE,24.12333629
9,18.38333333,47,25,Ansonia,1001,80338,5.568644837,TRUE,17.6072538
19,1.9,70,31,Ansonia,1003,90106,11.94897783,TRUE,23.5033076
20,4.6,50,0,Ansonia,1003,90103,7.801871322,TRUE,12.03254768
20,0.8,50,0,Ansonia,1003,130962,8.902756267,TRUE,16.23219222
21,3.266666667,36,50,Ansonia,1003,90106,11.13364257,TRUE,23.97913527
22,17.36666667,46,34,Ansonia,1003,130960,9.651440032,FALSE,23.24004499
22,14.83333333,46,34,Ansonia,1003,85296,4.630187085,TRUE,5.568296895
22,2.683333333,46,34,Ansonia,1003,90103,3.015011634,TRUE,23.01410926
23,15.8,43,36,Ansonia,1003,78837,7.719610158,FALSE,10.6417463
23,6.883333333,43,36,Ansonia,1003,90106,14.35044442,TRUE,22.83838159
24,12.61666667,59,0,Ansonia,1003,85296,6.962669886,FALSE,15.15451959
24,9.483333333,59,0,Ansonia,1003,126865,2.977025611,TRUE,2.930688264
24,8.683333333,59,0,Ansonia,1003,94363,2.231224486,TRUE,2.024958794
25,19.78333333,49,33,Ansonia,1003,130960,8.635342898,FALSE,23.81178614
26,18.2,39,32,Ansonia,1003,90106,1.700792013,TRUE,6.750838346
26,15.91666667,39,32,Ansonia,1003,78837,4.144697001,FALSE,24.59987506
26,14.46666667,39,32,Ansonia,1003,85296,5.642192099,FALSE,23.36720221
26,11.31666667,39,32,Ansonia,1003,90106,2.2260445,FALSE,1.978074458
26,10.65,39,32,Ansonia,1003,94363,14.22533975,TRUE,23.79279758
26,3.933333333,39,32,Ansonia,1003,85296,2.495899973,FALSE,3.673239951
26,1.383333333,39,32,Ansonia,1003,90103,11.1867667,TRUE,25.73463793
1,38.4,42,30,Ansonia,1001,80338,2.865353127,TRUE,4.546069993
1,31.56666667,42,30,Ansonia,1001,80340,2.956020454,TRUE,27.2949645
1,30.36666667,42,30,Ansonia,1001,102144,6.658246337,TRUE,22.6622911
3,35.13333333,62,0,Ansonia,1001,98247,0.831354757,TRUE,2.156091068
4,39.55,50,28,Ansonia,1001,98247,4.772964859,FALSE,13.52294751
4,38.9,50,28,Ansonia,1001,62330,2.089542244,TRUE,5.739127002
4,29.71666667,50,28,Ansonia,1001,98247,9.58491047,TRUE,24.65367784
4,26.1,50,28,Ansonia,1001,80338,6.825964039,FALSE,22.00792583
5,37.73333333,62,0,Ansonia,1001,80338,5.117784409,TRUE,2.251892194
5,20.66666667,62,0,Ansonia,1001,98247,4.031549003,TRUE,0.696009928
6,28.18333333,39,41,Ansonia,1001,80338,8.945547032,FALSE,26.43585095
7,32.56666667,54,29,Ansonia,1001,62330,1.758511877,TRUE,1.748244473
7,27.46666667,54,29,Ansonia,1001,62330,6.592863286,TRUE,15.60364089
7,26.75,54,29,Ansonia,1001,98247,0.732164122,TRUE,1.863866543
7,21.43333333,54,29,Ansonia,1001,102144,7.171748144,FALSE,1.522288548
9,33.21666667,45,25,Ansonia,1001,80338,3.008231519,FALSE,7.432574125
9,33.2,45,25,Ansonia,1001,80340,3.921679878,FALSE,3.439221807
20,35.4,50,0,Ansonia,1003,90103,5.821931699,FALSE,16.30129785
20,33.58333333,50,0,Ansonia,1003,130960,4.584023884,FALSE,2.258698104
20,33,50,0,Ansonia,1003,85296,1.820097553,TRUE,2.973976048
20,24.31666667,50,0,Ansonia,1003,90106,4.312239547,TRUE,15.41702324
22,38.03333333,44,32,Ansonia,1003,130960,9.746589355,FALSE,23.93887855
22,32.15,44,32,Ansonia,1003,90103,4.606543547,TRUE,15.81838047
22,31.05,44,32,Ansonia,1003,90103,6.142804969,FALSE,24.60050426
22,28.41666667,44,32,Ansonia,1003,78837,5.247522818,FALSE,11.97728778
22,27.76666667,44,32,Ansonia,1003,94363,2.095162508,FALSE,4.730180582
22,23.48333333,44,32,Ansonia,1003,78837,6.538141224,FALSE,23.91852092
22,20.45,44,32,Ansonia,1003,78837,5.031727307,FALSE,13.99171946
24,36.25,57,0,Ansonia,1003,130960,1.691704947,FALSE,2.288495847
25,38.51666667,49,31,Ansonia,1003,90106,7.289672105,FALSE,25.00289612
25,34.16666667,49,31,Ansonia,1003,78837,6.148690684,TRUE,19.57628842
25,28.31666667,49,31,Ansonia,1003,78837,9.670693162,FALSE,24.08487191
25,20.16666667,49,31,Ansonia,1003,90103,3.43288448,FALSE,25.33665476
26,36.8,39,32,Ansonia,1003,130960,5.153055082,TRUE,18.07291713
26,35.48333333,39,32,Ansonia,1003,94363,5.563828743,FALSE,23.50172891
26,30.68333333,39,32,Ansonia,1003,78837,6.426739321,TRUE,11.56868381
26,29.35,39,32,Ansonia,1003,94363,8.450426158,FALSE,17.6877585
26,25.83333333,39,32,Ansonia,1003,90103,7.435030603,FALSE,23.72482207
1,18.93333333,41,29,Ashford,1001,93793,5.317313573,FALSE,25.5295619
1,16.03333333,41,29,Ashford,1001,84709,3.253079839,TRUE,4.055952963
1,14.96666667,41,29,Ashford,1001,93793,3.815700139,FALSE,26.84535777
1,9.683333333,41,29,Ashford,1001,84709,5.249496762,FALSE,18.71043953
1,9.033333333,41,29,Ashford,1001,108030,9.729286075,FALSE,21.93709715
2,12.73333333,40,27,Ashford,1001,84718,8.924614516,TRUE,23.95691856
2,12.13333333,40,27,Ashford,1001,108030,9.334264256,FALSE,10.58129699
4,6.933333333,52,26,Ashford,1001,124126,1.276790639,TRUE,4.216047907
5,17.7,61,0,Ashford,1001,84719,3.255294352,TRUE,3.377936676
5,8.35,61,0,Ashford,1001,84709,2.221310403,TRUE,3.154622774
6,2.85,39,42,Ashford,1001,93794,6.932862081,TRUE,23.59495916
7,19.56666667,56,29,Ashford,1001,93793,3.617339981,FALSE,7.73022509
8,13.63333333,57,15,Ashford,1001,84718,7.783127542,TRUE,2.249558373
8,12.98333333,57,15,Ashford,1001,84721,2.317306785,FALSE,5.9116276
8,4.716666667,57,15,Ashford,1001,84721,6.691572985,FALSE,15.86323087
8,0.583333333,57,15,Ashford,1001,84721,3.002185522,TRUE,1.641210492
9,17.26666667,49,25,Ashford,1001,84721,6.891177741,FALSE,22.77249786
9,3.933333333,49,25,Ashford,1001,84719,0.598742064,TRUE,2.322802282
27,10.13333333,28,33,Ashford,1004,85296,5.855850909,FALSE,23.45898931
27,7.25,28,33,Ashford,1004,90106,8.920497776,TRUE,23.19734041
27,3.133333333,28,33,Ashford,1004,130960,1.112746596,FALSE,3.043162592
27,3.083333333,28,33,Ashford,1004,90106,2.801485819,FALSE,6.610496119
27,2.266666667,28,33,Ashford,1004,130959,7.020250173,FALSE,24.91314663
28,1.116666667,44,0,Ashford,1004,132654,2.21811233,TRUE,5.157340646
29,17.98333333,46,34,Ashford,1004,130960,3.700306124,TRUE,23.84889739
29,12.45,46,34,Ashford,1004,94363,3.170257544,TRUE,1.228419401
29,11.85,46,34,Ashford,1004,130960,12.02011126,TRUE,25.20260504
29,5.183333333,46,34,Ashford,1004,94363,4.579904577,FALSE,26.51317345
29,3.633333333,46,34,Ashford,1004,130959,8.210558893,FALSE,24.18907531
29,3,46,34,Ashford,1004,130959,4.464937574,FALSE,23.24840287
29,1.583333333,46,34,Ashford,1004,85296,7.818879826,TRUE,25.58274767
30,13.2,47,22,Ashford,1004,130960,7.393599145,TRUE,20.1191737
30,9.516666667,47,22,Ashford,1004,85296,6.587626078,FALSE,23.89248275
30,8.65,47,22,Ashford,1004,130959,5.94159037,TRUE,2.432306445
30,6.55,47,22,Ashford,1004,90106,2.751723261,TRUE,6.859651952
30,6.116666667,47,22,Ashford,1004,90106,3.654078171,FALSE,1.831205482
30,2.633333333,47,22,Ashford,1004,90106,4.102484132,FALSE,10.53635879
30,0.2,47,22,Ashford,1004,90106,3.126647405,FALSE,3.701452063
31,17.48333333,48,34,Ashford,1004,130959,3.359849281,TRUE,2.630644536
31,15.48333333,48,34,Ashford,1004,130959,9.446449977,TRUE,18.32487388
31,5.9,48,34,Ashford,1004,130960,7.030943459,FALSE,26.87474768
31,0.083333333,48,34,Ashford,1004,90106,6.176128798,TRUE,16.46896487
32,16.66666667,48,10,Ashford,1004,130960,11.90489356,FALSE,23.73380065
32,14.08333333,48,10,Ashford,1004,94363,3.866835659,FALSE,5.37754597
32,5.116666667,48,10,Ashford,1004,78837,6.79645625,FALSE,25.19599082
33,13.83333333,33,100,Ashford,1004,126865,3.945425293,FALSE,3.858362693
34,16.96666667,42,39,Ashford,1004,130960,3.80522284,FALSE,23.76235769
34,16.75,42,39,Ashford,1004,130962,6.306761045,FALSE,28.51557633
34,10.93333333,42,39,Ashford,1004,85296,5.650057054,TRUE,15.43475109
34,7.8,42,39,Ashford,1004,90103,13.95943792,FALSE,28.32230599
1,36.65,42,30,Ashford,1001,84718,11.27801623,TRUE,23.8117102
1,34.81666667,42,30,Ashford,1001,93793,3.742669189,FALSE,12.12986226
1,30.88333333,42,30,Ashford,1001,108030,2.005892268,TRUE,5.98852526
1,20.15,42,30,Ashford,1001,93793,2.538838133,TRUE,23.67381579
3,34.78333333,61,0,Ashford,1001,131866,3.682828756,FALSE,2.55332203
3,28.68333333,61,0,Ashford,1001,84721,1.97029671,FALSE,4.323824749
4,37.75,53,25,Ashford,1001,93793,2.744996698,FALSE,7.675242422
4,28.13333333,53,25,Ashford,1001,124126,6.468878078,FALSE,24.11192529
4,25.65,53,25,Ashford,1001,84718,2.095226726,FALSE,5.995754623
4,21.85,53,25,Ashford,1001,84719,9.18162872,FALSE,22.87000025
7,39.3,56,29,Ashford,1001,84709,5.336397957,FALSE,14.46310972
8,27.36666667,56,15,Ashford,1001,84718,2.204670775,FALSE,5.699121279
9,30.15,47,25,Ashford,1001,84718,6.648294208,FALSE,20.39268935
9,22.85,47,25,Ashford,1001,84719,2.672050323,FALSE,5.796049352
9,20.98333333,47,25,Ashford,1001,84719,1.520445469,FALSE,5.969773948
28,32.36666667,44,0,Ashford,1004,94363,1.343502979,FALSE,5.10943195
29,39.13333333,46,34,Ashford,1004,130960,5.084326121,TRUE,15.01298403
29,35.3,46,34,Ashford,1004,94363,3.999833768,TRUE,13.4888432
29,29.85,46,34,Ashford,1004,130960,3.950470602,FALSE,21.31383004
29,26.91666667,46,34,Ashford,1004,130959,2.812967803,FALSE,12.60349493
29,26.11666667,46,34,Ashford,1004,94363,5.859051167,TRUE,0.59884992
29,20.48333333,46,34,Ashford,1004,85296,6.84960509,FALSE,21.007497
30,30.48333333,46,21,Ashford,1004,90103,3.226789119,FALSE,10.95185475
30,25.3,46,21,Ashford,1004,130960,7.75930937,FALSE,23.49413624
30,23.31666667,46,21,Ashford,1004,130962,5.915137067,FALSE,14.49867044
31,38.43333333,48,34,Ashford,1004,130960,5.903506702,FALSE,23.62566257
32,37.21666667,46,10,Ashford,1004,90106,4.16509325,FALSE,16.23438568
33,25.2,34,100,Ashford,1004,90106,1.723437462,TRUE,4.142182312
34,37.98333333,41,38,Ashford,1004,90106,8.9480152,FALSE,24.60627485
34,33.96666667,41,38,Ashford,1004,130960,7.343931513,TRUE,10.73992984
34,32.06666667,41,38,Ashford,1004,130960,5.551895767,FALSE,21.02752399
34,31.35,41,38,Ashford,1004,130960,5.053862207,FALSE,22.0574133
34,27.58333333,41,38,Ashford,1004,90106,4.350682079,FALSE,9.469450021
1,19.48333333,41,31,Andover,1001,75021,5.15508086,FALSE,29.2676986
1,16.03333333,41,31,Andover,1001,73527,5.723414801,FALSE,24.49973174
1,11.41666667,41,31,Andover,1001,73527,9.516454634,FALSE,16.62768553
1,10.25,41,31,Andover,1001,75021,3.631983236,FALSE,16.91575174
1,2.833333333,41,31,Andover,1001,79408,4.478549695,TRUE,18.53399454
1,1.333333333,41,31,Andover,1001,56633,5.52101428,TRUE,24.52757147
2,5.133333333,43,22,Andover,1001,79408,12.09179297,TRUE,22.96155685
3,12.2,66,0,Andover,1001,52061,1.719313551,TRUE,2.035012252
4,13.8,51,25,Andover,1001,52061,5.046482252,FALSE,23.23921638
4,9.466666667,51,25,Andover,1001,56633,3.10479464,FALSE,0.462330776
4,9.45,51,25,Andover,1001,73527,4.142039386,TRUE,2.507911952
5,18.01666667,60,0,Andover,1001,56634,2.386912003,TRUE,6.76007827
5,14.46666667,60,0,Andover,1001,56634,2.484280558,TRUE,2.216342802
5,10.18333333,60,0,Andover,1001,52061,1.790226655,FALSE,5.880748977
5,1.7,60,0,Andover,1001,131083,0.785663571,FALSE,1.020694581
7,16.7,56,29,Andover,1001,56633,7.594623758,FALSE,23.07213309
7,11.01666667,56,29,Andover,1001,73527,6.809140573,TRUE,3.057357392
7,9.566666667,56,29,Andover,1001,56634,4.978928459,TRUE,2.903560082
7,8.233333333,56,29,Andover,1001,73527,5.302630183,FALSE,19.54662797
7,3.483333333,56,29,Andover,1001,56633,1.667121971,TRUE,6.156961968
7,1.75,56,29,Andover,1001,73527,1.121308368,FALSE,3.867169682
7,0.583333333,56,29,Andover,1001,73527,3.535864331,TRUE,7.316201109
8,4.383333333,57,15,Andover,1001,56633,7.795757733,FALSE,23.30411414
9,13.5,49,25,Andover,1001,56633,5.81019072,FALSE,27.03981648
9,6.35,49,25,Andover,1001,124085,4.003743356,TRUE,8.869506254
9,0.683333333,49,25,Andover,1001,56633,7.952741272,FALSE,23.43278963
10,2.616666667,50,38,Andover,1002,85296,1.966537248,TRUE,6.734035791
10,1.016666667,50,38,Andover,1002,90106,2.363703486,TRUE,7.748610648
11,18.58333333,53,42,Andover,1002,85296,9.925687872,TRUE,25.09397674
11,16.4,53,42,Andover,1002,130959,8.27952785,FALSE,22.43119353
11,15.61666667,53,42,Andover,1002,130962,8.64903414,TRUE,25.59971063
11,14.28333333,53,42,Andover,1002,126865,1.841615305,TRUE,7.845816581
11,12.58333333,53,42,Andover,1002,78837,7.957677251,TRUE,3.635650378
11,4.683333333,53,42,Andover,1002,94363,4.669722274,FALSE,8.45988753
11,3.583333333,53,42,Andover,1002,130959,8.961406515,FALSE,27.60296085
13,8.666666667,51,0,Andover,1002,90106,2.084604015,TRUE,7.435175375
13,7.916666667,51,0,Andover,1002,90106,3.973867932,FALSE,7.941853835
13,7.183333333,51,0,Andover,1002,90106,3.315203998,FALSE,3.557162923
14,9.983333333,38,20,Andover,1002,94363,11.72266353,FALSE,24.57109546
18,15.88333333,43,27,Andover,1002,130960,2.744653564,TRUE,1.820319311
16,11.81666667,75,0,Andover,1002,130962,3.239722767,TRUE,4.808154691
17,17.21666667,63,32,Andover,1002,90103,7.813134994,TRUE,1.181945093
17,11.13333333,63,32,Andover,1002,130959,5.599051208,FALSE,23.65843297
35,2.15,50,20,Andover,1002,90106,12.36155816,FALSE,26.30358835
35,0.066666667,50,20,Andover,1002,90106,12.0607177,FALSE,26.13330938
1,31.48333333,40,30,Andover,1001,79408,6.430638058,FALSE,17.42780293
3,25.46666667,64,0,Andover,1001,56634,3.14294369,FALSE,4.418292745
4,39.38333333,52,25,Andover,1001,56633,3.843209641,FALSE,13.89727421
4,37.03333333,52,25,Andover,1001,79408,3.973568613,TRUE,16.18012166
4,33.06666667,52,25,Andover,1001,52061,3.154121154,TRUE,9.97351293
4,30.08333333,52,25,Andover,1001,75021,6.168583857,FALSE,25.77259012
4,27.55,52,25,Andover,1001,73527,1.7449628,TRUE,4.14843115
4,23.1,52,25,Andover,1001,56634,2.279015144,FALSE,9.729551593
6,35.4,39,41,Andover,1001,75021,11.15172332,TRUE,25.4088826
6,32.03333333,39,41,Andover,1001,124085,10.76712357,FALSE,26.26554281
7,38.76666667,56,29,Andover,1001,56634,2.586708801,FALSE,5.94175432
7,38.16666667,56,29,Andover,1001,56634,6.209861423,TRUE,2.289596198
7,33.75,56,29,Andover,1001,94389,8.551191471,TRUE,17.59917837
7,31.05,56,29,Andover,1001,124085,7.382888037,TRUE,3.78847674
7,28.58333333,56,29,Andover,1001,75021,8.283829942,TRUE,18.28561391
7,24.8,56,29,Andover,1001,79408,3.253139398,TRUE,3.918478228
8,21,58,15,Andover,1001,56633,0.763195599,TRUE,6.509197309
9,36.73333333,49,26,Andover,1001,73527,5.914564737,TRUE,26.45527626
9,29.38333333,49,26,Andover,1001,124085,12.43849003,FALSE,24.65065744
10,29.08333333,50,40,Andover,1002,126865,6.579510924,TRUE,23.56461018
10,23.48333333,50,40,Andover,1002,130959,14.05784008,TRUE,24.69651019
11,39.8,52,40,Andover,1002,130960,10.50254484,FALSE,26.39843967
11,37.95,52,40,Andover,1002,130960,9.269524997,FALSE,27.36666545
11,36.88333333,52,40,Andover,1002,130960,7.069342361,FALSE,24.54000092
11,30.8,52,40,Andover,1002,85296,6.959171304,FALSE,24.28383357
11,23.96666667,52,40,Andover,1002,94363,9.182637455,FALSE,23.35416172
12,32.33333333,47,41,Andover,1002,78837,7.916791327,FALSE,22.41256133
13,38.45,50,0,Andover,1002,90106,1.981247094,FALSE,2.701860881
13,30.55,50,0,Andover,1002,90106,3.490496145,TRUE,4.802656712
13,22.03333333,50,0,Andover,1002,90106,2.564225712,FALSE,4.00803453
18,39.06666667,44,30,Andover,1002,90106,4.045138683,FALSE,7.34650481
18,36.41666667,44,30,Andover,1002,90106,5.054007034,FALSE,13.65546383
18,34.81666667,44,30,Andover,1002,78837,1.939312267,TRUE,10.72071789
18,34.06666667,44,30,Andover,1002,85296,10.00702722,TRUE,24.07148395
15,33.45,44,27,Andover,1002,78837,8.059564929,TRUE,25.05860855
15,28.16666667,44,27,Andover,1002,130960,8.82873983,FALSE,23.10132635
17,21.11666667,63,32,Andover,1002,130960,2.23602665,FALSE,4.152285076
1,8.4,42,30,Avon,1001,79408,4.651717448,TRUE,25.95444074
1,7.566666667,42,30,Avon,1001,73527,2.254894385,FALSE,8.295884691
1,4.516666667,42,30,Avon,1001,124085,2.676419508,FALSE,19.62638004
1,2.95,42,30,Avon,1001,56633,5.377089577,TRUE,18.81580733
1,0.9,42,30,Avon,1001,79408,2.620290472,FALSE,9.618644041
3,4.916666667,63,0,Avon,1001,52061,2.980061217,TRUE,6.355922821
2,6.6,38,13,Avon,1001,114450,2.60402195,TRUE,1.896881705
4,8.333333333,52,26,Avon,1001,73527,12.72313178,FALSE,25.12414147
4,7.433333333,52,26,Avon,1001,79408,2.608028432,FALSE,10.94409249
4,6.6,52,26,Avon,1001,56633,4.414071204,FALSE,12.32309228
4,4.65,52,26,Avon,1001,79408,3.240109813,TRUE,13.59201448
4,4.5,52,26,Avon,1001,124085,10.93801648,FALSE,23.84225706
4,3.533333333,52,26,Avon,1001,124085,6.867927432,FALSE,25.03346815
5,8.016666667,61,0,Avon,1001,52061,5.662719385,TRUE,15.77861425
5,5.95,61,0,Avon,1001,56634,3.307714837,FALSE,6.338774769
6,6.3,39,41,Avon,1001,56633,14.38590316,TRUE,25.39792162
6,4.783333333,39,41,Avon,1001,79408,3.974572125,TRUE,0.82443142
7,8.266666667,55,30,Avon,1001,73527,9.883694268,FALSE,23.56562718
7,7.733333333,55,30,Avon,1001,56633,7.745376748,TRUE,16.01710927
7,3.366666667,55,30,Avon,1001,56633,3.262220894,TRUE,7.473765762
7,2.4,55,30,Avon,1001,75021,3.494679865,FALSE,9.408924034
7,2.283333333,55,30,Avon,1001,73527,1.817564633,FALSE,4.942223661
8,6.1,57,17,Avon,1001,56633,1.802498393,TRUE,4.279729713
8,2.266666667,57,17,Avon,1001,73527,1.929951167,TRUE,3.68641612
9,7.333333333,50,27,Avon,1001,56633,4.674575326,FALSE,22.77433175
9,2.1,50,27,Avon,1001,75021,7.993489773,FALSE,27.6250603
9,0.55,50,27,Avon,1001,79408,7.086223271,FALSE,23.31985715
10,7.6,51,37,Avon,1002,90103,1.043503127,FALSE,5.277896802
10,5.033333333,51,37,Avon,1002,130962,5.500482613,TRUE,26.10654953
10,4.75,51,37,Avon,1002,78837,0.364453924,FALSE,7.808416431
10,2.9,51,37,Avon,1002,85296,1.499458741,FALSE,9.302280735
11,8.5,53,43,Avon,1002,90103,4.291209541,FALSE,9.573449519
11,6.55,53,43,Avon,1002,130960,8.956341074,TRUE,24.18843385
11,3.516666667,53,43,Avon,1002,90103,2.844821264,FALSE,6.933564594
11,2.25,53,43,Avon,1002,130960,5.949183458,FALSE,26.76937862
11,1.166666667,53,43,Avon,1002,94363,6.031238766,FALSE,18.48503228
11,0.883333333,53,43,Avon,1002,94363,2.868829606,FALSE,5.255666063
11,0.65,53,43,Avon,1002,94363,8.696318676,TRUE,23.13207143
11,0.15,53,43,Avon,1002,90106,4.759414524,FALSE,16.65463095
12,0.516666667,50,42,Avon,1002,85296,6.16601911,TRUE,23.42021171
13,2.35,53,0,Avon,1002,90106,3.298425744,TRUE,8.04029
14,6.15,36,22,Avon,1002,90106,7.712954102,FALSE,19.38055032
18,4.466666667,43,28,Avon,1002,85296,10.24609274,FALSE,22.9698565
18,1.066666667,43,28,Avon,1002,130962,4.011392788,FALSE,4.687614318
16,7.683333333,74,0,Avon,1002,130960,2.668928555,TRUE,6.036440688
